dataset	clustering	prune	frac_sig
bioethanol	otu	1	0.05
bioethanol	otu	2	1
bioethanol	otu	3	1
bioethanol	otu	4	1
bioethanol	otu	5	1
bioethanol	otu	6	1
bioethanol	otu	7	1
bioethanol	otu	8	1
bioethanol	otu	9	1
bioethanol	otu	10	1
bioethanol	otu	11	1
bioethanol	pc	1	0.04
bioethanol	pc	2	1
bioethanol	pc	3	1
bioethanol	pc	4	1
bioethanol	pc	5	1
bioethanol	pc	6	1
bioethanol	pc	7	1
bioethanol	pc	8	1
bioethanol	pc	9	1
bioethanol	pc	10	1
bioethanol	pc	11	1
human	otu	1	0.01
human	otu	2	1
human	otu	3	1
human	otu	4	1
human	otu	5	1
human	otu	6	1
human	otu	7	1
human	otu	8	1
human	otu	9	1
human	otu	10	1
human	otu	11	1
human	pc	1	0.01
human	pc	2	1
human	pc	3	1
human	pc	4	1
human	pc	5	1
human	pc	6	1
human	pc	7	1
human	pc	8	1
human	pc	9	1
human	pc	10	1
human	pc	11	1
lake	otu	1	0.03
lake	otu	2	1
lake	otu	3	1
lake	otu	4	1
lake	otu	5	1
lake	otu	6	1
lake	otu	7	1
lake	otu	8	1
lake	otu	9	1
lake	otu	10	1
lake	otu	11	1
lake	pc	1	0.03
lake	pc	2	1
lake	pc	3	1
lake	pc	4	1
lake	pc	5	1
lake	pc	6	1
lake	pc	7	1
lake	pc	8	1
lake	pc	9	1
lake	pc	10	1
lake	pc	11	1
marine	otu	1	0.07
marine	otu	2	0.1
marine	otu	3	0.1
marine	otu	4	0.14
marine	otu	5	0.16
marine	otu	6	0.16
marine	otu	7	0.14
marine	otu	8	0.17
marine	otu	9	0.18
marine	otu	10	0.2
marine	otu	11	0.18
marine	pc	1	0.03
marine	pc	2	0.03
marine	pc	3	0.1
marine	pc	4	0.12
marine	pc	5	0.15
marine	pc	6	0.15
marine	pc	7	0.12
marine	pc	8	0.16
marine	pc	9	0.14
marine	pc	10	0.15
marine	pc	11	0.16
mice	otu	1	0.02
mice	otu	2	1
mice	otu	3	1
mice	otu	4	1
mice	otu	5	1
mice	otu	6	1
mice	otu	7	1
mice	otu	8	1
mice	otu	9	1
mice	otu	10	1
mice	otu	11	1
mice	pc	1	0.04
mice	pc	2	1
mice	pc	3	1
mice	pc	4	1
mice	pc	5	1
mice	pc	6	1
mice	pc	7	1
mice	pc	8	1
mice	pc	9	1
mice	pc	10	1
mice	pc	11	1
peromyscus	otu	1	0.05
peromyscus	otu	2	1
peromyscus	otu	3	1
peromyscus	otu	4	1
peromyscus	otu	5	1
peromyscus	otu	6	1
peromyscus	otu	7	1
peromyscus	otu	8	1
peromyscus	otu	9	1
peromyscus	otu	10	1
peromyscus	otu	11	1
peromyscus	pc	1	0.06
peromyscus	pc	2	1
peromyscus	pc	3	1
peromyscus	pc	4	1
peromyscus	pc	5	1
peromyscus	pc	6	1
peromyscus	pc	7	1
peromyscus	pc	8	1
peromyscus	pc	9	1
peromyscus	pc	10	1
peromyscus	pc	11	1
rainforest	otu	1	0.04
rainforest	otu	2	1
rainforest	otu	3	1
rainforest	otu	4	1
rainforest	otu	5	1
rainforest	otu	6	1
rainforest	otu	7	1
rainforest	otu	8	1
rainforest	otu	9	1
rainforest	otu	10	1
rainforest	otu	11	1
rainforest	pc	1	0.04
rainforest	pc	2	1
rainforest	pc	3	1
rainforest	pc	4	1
rainforest	pc	5	1
rainforest	pc	6	1
rainforest	pc	7	1
rainforest	pc	8	1
rainforest	pc	9	1
rainforest	pc	10	1
rainforest	pc	11	1
rice	otu	1	0.08
rice	otu	2	1
rice	otu	3	1
rice	otu	4	1
rice	otu	5	1
rice	otu	6	1
rice	otu	7	1
rice	otu	8	1
rice	otu	9	1
rice	otu	10	1
rice	otu	11	1
rice	pc	1	0.03
rice	pc	2	1
rice	pc	3	1
rice	pc	4	1
rice	pc	5	1
rice	pc	6	1
rice	pc	7	1
rice	pc	8	1
rice	pc	9	1
rice	pc	10	1
rice	pc	11	1
seagrass	otu	1	0.04
seagrass	otu	2	1
seagrass	otu	3	1
seagrass	otu	4	1
seagrass	otu	5	1
seagrass	otu	6	1
seagrass	otu	7	1
seagrass	otu	8	1
seagrass	otu	9	1
seagrass	otu	10	1
seagrass	otu	11	1
seagrass	pc	1	0.04
seagrass	pc	2	1
seagrass	pc	3	1
seagrass	pc	4	1
seagrass	pc	5	1
seagrass	pc	6	1
seagrass	pc	7	1
seagrass	pc	8	1
seagrass	pc	9	1
seagrass	pc	10	1
seagrass	pc	11	1
sediment	otu	1	0.06
sediment	otu	2	1
sediment	otu	3	1
sediment	otu	4	1
sediment	otu	5	1
sediment	otu	6	1
sediment	otu	7	1
sediment	otu	8	1
sediment	otu	9	1
sediment	otu	10	1
sediment	otu	11	1
sediment	pc	1	0.08
sediment	pc	2	1
sediment	pc	3	1
sediment	pc	4	1
sediment	pc	5	1
sediment	pc	6	1
sediment	pc	7	1
sediment	pc	8	1
sediment	pc	9	1
sediment	pc	10	1
sediment	pc	11	1
soil	otu	1	0.07
soil	otu	2	0.17
soil	otu	3	0.38
soil	otu	4	0.54
soil	otu	5	0.74
soil	otu	6	0.86
soil	otu	7	0.91
soil	otu	8	0.92
soil	otu	9	0.96
soil	otu	10	0.94
soil	otu	11	0.96
soil	pc	1	0.06
soil	pc	2	0.17
soil	pc	3	0.43
soil	pc	4	0.66
soil	pc	5	0.86
soil	pc	6	0.94
soil	pc	7	0.97
soil	pc	8	0.96
soil	pc	9	0.97
soil	pc	10	0.96
soil	pc	11	0.98
stream	otu	1	0.01
stream	otu	2	1
stream	otu	3	1
stream	otu	4	1
stream	otu	5	1
stream	otu	6	1
stream	otu	7	1
stream	otu	8	1
stream	otu	9	1
stream	otu	10	1
stream	otu	11	1
stream	pc	1	0.02
stream	pc	2	1
stream	pc	3	1
stream	pc	4	1
stream	pc	5	1
stream	pc	6	1
stream	pc	7	1
stream	pc	8	1
stream	pc	9	1
stream	pc	10	1
stream	pc	11	1
